KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
5	13	18	3	0	15	4	3	11	0	4	345	0	5.569	42.182	47.458	0.242	37.772	23.002	7.264	0.969	0.726	12.349	7.264	74.074	5.556	20.370
2	8	23	0	2	6	2	0	1	7	0	267	1.553	8.385	46.272	36.646	0.311	36.646	22.671	4.037	0.311	1.863	10.248	8.696	83.962	1.887	14.151
2	5	8	1	2	26	12	3	1	1	6	407	0.575	4.023	40.975	44.636	0.766	32.184	22.222	3.448	0.766	1.149	13.985	4.789	73.953	0.465	25.581
0	0	3	0	1	1	0	2	0	1	2	76	0	9.091	38.807	37.5	2.273	29.545	17.045	2.273	0	0	17.045	11.364	74.194	3.226	22.581
7	3	6	5	2	14	2	1	0	0	4	255	0	14.667	44.322	47.333	1.667	36.333	17.333	3.333	0.333	1	10.333	5	88.119	2.970	8.911
4	9	19	0	2	16	6	2	1	2	4	284	0	9.816	42.282	47.853	0.307	34.356	24.847	6.748	0	0.92	13.19	3.681	76.923	2.797	20.280
7	20	7	1	6	12	10	3	4	3	6	436	0.366	8.974	39.753	47.436	0.549	37.179	18.315	3.846	0.549	0.366	15.385	5.495	88.341	0.448	11.211
12	6	24	28	2	12	0	5	0	11	6	525	0.315	22.397	40.051	47.95	0.315	36.751	20.032	5.521	0.631	0.158	16.088	4.259	88.750	2.083	9.167
9	19	18	4	2	23	7	3	1	3	18	425	0.202	10.282	44.466	42.944	0.403	37.903	18.75	3.226	0.605	0.403	12.5	7.056	86.243	1.058	12.698
0	1	5	0	1	6	5	0	0	2	5	71	0	19.54	50.443	43.678	0	44.828	10.345	6.897	0	0	9.195	8.046	72.727	0.000	27.273
14	14	22	3	6	25	16	16	5	7	25	656	0.471	10.118	40.65	47.176	0.118	34.706	20.353	6.118	0.471	0.235	14.353	7.882	83.382	1.749	14.869
0	0	4	1	2	0	0	0	3	0	0	35	0	33.333	43.962	51.282	0	30.769	23.077	7.692	0	0	20.513	5.128	72.727	0.000	27.273
24	15	28	8	15	45	14	10	14	9	14	1449	0.672	9.58	40.026	45.714	0.112	33.501	24.258	6.499	0.84	0.56	14.734	4.93	83.269	2.703	14.028
